behavior,Qp1,Qp2,evidence,arbitration,subject
1,0.080407,0.036825,1.1896,-0.35966,1
1,0.12672,-0.02255,0.0023133,-0.33776,1
1,0.16027,-0.071567,0.12861,-0.31655,1
1,0.19178,-0.092893,-0.78104,-0.296,1
1,0.20745,-0.12875,0.35352,-0.20801,1
0,0.21461,-0.15612,0.38083,-0.12442,1
1,0.19732,-0.11236,0.57255,-0.12686,1
1,0.15622,-0.12507,-1.4613,-0.16826,1
1,0.13121,-0.16009,-0.039535,-0.20908,1
1,0.10108,-0.098619,0.70603,-0.15003,1
1,0.093695,-0.13307,0.62498,-0.14128,1
1,0.11771,-0.086138,0.42458,0.0092319,1
1,0.11913,-0.11463,0.64364,0.13772,1
0,0.12052,-0.13483,0.34906,0.25596,1
1,0.12303,-0.12432,-0.04035,0.36027,1
0,0.10467,-0.13923,-0.49893,0.2162,1
0,0.072924,-0.094654,0.040067,0.11404,1
0,0.03392,-0.13927,-0.24061,-0.0022727,1
0,-0.0098408,-0.10475,-0.78586,-0.062388,1
0,-0.036276,-0.06862,-0.055243,-0.12219,1
0,-0.046996,-0.083736,-0.19493,-0.16291,1
0,-0.08517,-0.072049,-1.384,-0.20595,1
0,-0.084208,-0.073243,-0.3129,-0.18519,1
0,-0.083272,-0.10584,0.8094,-0.21858,1
1,-0.03729,-0.043278,0.12924,-0.20401,1
0,-0.015626,-0.10055,0.88517,-0.22986,1
1,-0.01533,-0.069565,0.7768,-0.17045,1
1,-0.015042,-0.031843,1.0175,-0.11362,1
0,-0.012451,-0.026545,-0.22972,-0.059283,1
0,-0.023794,-0.033961,-0.49411,-0.11218,1
1,0.016007,0.002829,-0.55092,-0.14304,1
0,0.052454,0.042428,-0.32034,-0.17338,1
1,0.078702,0.064642,-0.54477,-0.2032,1
1,0.089239,0.04855,-0.153,-0.19649,1
1,0.079854,0.036653,-0.25798,-0.16827,1
1,0.085738,0.023809,-0.088206,-0.066798,1
1,0.081068,0.026391,-0.40743,-0.07206,1
1,0.074208,0.035194,-0.2704,-0.16233,1
1,0.049038,0.016101,-0.61436,-0.14072,1
1,0.011815,0.060382,-0.18328,-0.21202,1
1,-0.045234,0.11608,-0.546,-0.28289,1
0,-0.097322,0.16906,-0.45023,-0.35318,1
1,-0.14458,0.10622,0.089467,-0.15916,1
1,-0.14206,0.14562,0.99097,-0.10401,1
1,-0.12805,0.18148,0.41791,-0.05126,1
1,-0.084365,0.17113,-1.646,-0.04874,1
0,-0.033732,0.17992,-1.9717,-0.22663,1
1,0.0005512,0.11554,0.64855,-0.18614,1
0,0.015446,0.15218,0.41158,-0.30567,1
1,0.053064,0.2017,-0.011611,-0.42563,1
1,0.10125,0.24364,-0.69311,-0.54539,1
0,0.14471,0.22914,-1.4892,-0.47885,1
0,0.19397,0.26407,-0.98469,-0.3904,1
1,0.235,0.28803,-1.057,-0.30588,1
0,0.26571,0.2862,-1.4462,-0.34827,1
0,0.29908,0.27563,-1.2371,-0.19757,1
1,0.305,0.24898,0.40327,0.021363,1
1,0.32579,0.27333,-0.25645,-0.029244,1
1,0.35181,0.27063,-1.2329,-0.024701,1
1,0.37715,0.27807,-1.0372,-0.073504,1
1,0.4157,0.26644,-1.4007,0.051816,1
1,0.40239,0.22369,0.69113,0.055429,1
1,0.36284,0.18331,-0.41285,-0.10032,1
1,0.38211,0.20058,-0.45046,-0.12517,1
1,0.39048,0.15703,0.91146,0.1703,1
1,0.43099,0.11589,-0.42278,0.42285,1
1,0.46697,0.12612,-1.3507,0.53438,1
0,0.48467,0.083266,0.52409,0.60231,1
1,0.50884,0.056627,-0.30613,0.66491,1
0,0.4954,0.079727,-0.015624,0.60519,1
1,0.49387,0.024258,1.6027,0.65144,1
0,0.48428,0.069583,0.92784,0.66524,1
1,0.45993,0.089829,-0.54152,0.50257,1
1,0.4339,0.047928,0.16666,0.49186,1
1,0.38775,0.053651,-1.9067,0.39531,1
1,0.33588,0.03156,-1.5447,0.38439,1
1,0.30386,0.015077,-0.97383,0.37368,1
1,0.31427,-0.038698,1.1971,0.46434,1
1,0.28166,0.0045032,-0.042762,0.39397,1
1,-0.039212,-0.078209,1.343,-1.0891,1
1,-0.037143,-0.061637,0.19313,-1.0471,1
1,-0.025883,-0.056816,-0.58352,-1.055,1
1,-0.034563,-0.030745,0.27544,-1.0658,1
1,-0.061507,-0.041823,-0.96941,-1.0886,1
1,-0.090056,-0.028719,-0.95947,-1.0735,1
1,-0.13172,0.012963,-0.4488,-1.0588,1
0,-0.18155,-0.029439,-0.73987,-0.99727,1
0,-0.20695,-0.088336,0.7977,-0.93748,1
0,-0.24903,-0.048864,-0.54347,-0.80736,1
0,-0.27497,-0.014199,-0.088594,-0.68198,1
0,-0.28638,-0.038285,0.098868,-0.53486,1
0,-0.3021,-0.040364,-0.85491,-0.46273,1
0,-0.30932,-0.037358,-0.49151,-0.43898,1
0,-0.31405,-0.053293,0.067268,-0.41223,1
0,-0.33252,-0.018511,0.2062,-0.37302,1
0,-0.37477,0.026676,-0.3463,-0.33518,1
0,-0.41129,0.071938,-0.12108,-0.29865,1
0,-0.45379,0.11476,-0.44052,-0.26341,1
0,-0.4894,0.14262,-0.7067,-0.2294,1
1,-0.52985,0.16976,-0.92102,-0.19659,1
0,-0.55538,0.22007,0.4866,-0.16495,1
0,-0.58602,0.15464,0.8278,0.15628,1
1,-0.61816,0.18901,-0.34006,0.23339,1
0,-0.6356,0.23756,0.73805,0.30563,1
0,-0.63524,0.21191,0.58386,0.60457,1
0,-0.59445,0.18064,-0.7867,0.52065,1
1,-0.57552,0.13008,0.7521,0.48913,1
0,-0.5779,0.075803,1.5274,0.73829,1
0,-0.5779,0.015407,1.8382,0.93151,1
0,-0.5987,0.038329,-0.30791,1.0129,1
1,-0.62358,0.022927,-0.73481,1.1493,1
1,-0.65474,-0.022252,0.084256,1.2493,1
0,-0.68739,-0.066247,-0.01608,1.3223,1
0,-0.72151,-0.12292,0.38009,1.3755,1
0,-0.72699,-0.15296,0.54139,1.4144,1
0,-0.68957,-0.18348,-0.68252,1.4042,1
0,-0.62771,-0.22828,-1.122,1.3935,1
0,-0.55707,-0.23795,-2.7172,1.3797,1
0,-0.50099,-0.25618,-1.8462,1.3676,1
0,-0.45562,-0.27016,-1.5817,1.3549,1
0,-0.42878,-0.25987,-0.99396,1.3062,1
0,-0.44308,-0.2486,-0.4716,1.3215,1
0,-0.48591,-0.18984,0.11609,1.3355,1
0,-0.49756,-0.14017,1.0027,1.3482,1
0,-0.45459,-0.094309,-0.35005,1.3033,1
0,-0.43356,-0.06977,-0.25942,1.2495,1
